Question	Option A	Option B	Option C	Option D	Correct Answer	Explanation
Which MITRE ATT&CK technique involves an adversary using a web shell to establish persistent access to a compromised system in the Enterprise platform?	(A) Command and Control: Web Shell	(B) Defense Evasion: Virtualization/Sandbox Evasion	(C) Execution: Command-Line Interface	(D) Collection: Automated Collection	A	Command and Control: Web Shell technique (T1100) involves adversaries using a web shell to execute commands on a system and maintain access. The other options are not directly related to establishing persistent access using a web shell in this context.
Which MITRE ATT&CK technique involves an adversary using a legitimate system administration tool to execute malicious activities without needing to drop malicious files on disk?	Process Hollowing (T1055)	Remote System Discovery (T1018)	Valid Accounts (T1078)	Lateral Movement (T1070)	A	Process Hollowing (T1055) is a technique where an adversary injects code into the address space of a process running on a system, leveraging a legitimate system administration tool to execute malicious activities without the need to drop malicious files on disk.
Which MITRE ATT&CK technique involves an adversary sending a seemingly valid message to a victim that leads them to execute commands on their system without realizing the malicious intent?	Remote File Copy	Valid Accounts	Trusted Relationship	Data Obfuscation	Option B	Adversaries may abuse valid accounts to execute their malicious commands without raising suspicion, allowing them to blend in with normal user activity and evade detection.
Which MITRE ATT&CK technique involves an attacker sending a specially crafted email to a target to trick them into revealing sensitive information?	Phishing: Spearphishing Attachment	Exfiltration Over Command and Control Channel	Valid Accounts: External Remote Services	Remote Desktop Protocol (RDP)	Hyphothetical	Phishing is a social engineering technique where attackers send deceptive emails to trick recipients into divulging confidential information such as login credentials. Spearphishing Attachment specifically involves sending emails with malicious attachments to target individuals.
Which MITRE ATT&CK technique involves an adversary using a malicious email attachment to exploit a vulnerability in a target system?	Spearphishing Attachment	Exploit Public-Facing Application	Phishing for Information	Valid Accounts	A	Adversaries often use Spearphishing Attachment (T1193) to deliver malicious attachments to targets and exploit vulnerabilities within the system through this method.
Which MITRE ATT&CK technique could be leveraged by threat actors to gather information about a target's network infrastructure and applications in an initial access phase on the Enterprise platform?	 A. T1087 - Account Discovery	B. T1005 - Data from Local System	C. T1588 - Compromise Infrastructure	D. T1110 - Brute Force	A	T1087 - Account Discovery is a technique used by adversaries to identify accounts and credentials that may be used during targeting. It is typically employed in the initial access phase to gain a foothold in the target network, allowing threat actors to move laterally and escalate privileges. In contrast, the
Which MITRE ATT&CK technique involves an adversary using known software vulnerabilities to gain unauthorized access to a system?	Spearphishing Attachment	Exploit Public-Facing Application	Valid Accounts	Exploitation for Defense Evasion	B	Exploit Public-Facing Application - T1190
Which MITRE ATT&CK technique involves an adversary gaining access to a target system by exploiting a vulnerability in a web application?	SQL Injection (T1190)	Exploit Public-Facing Application (T1190)	Exploit Public-Facing Application (T1190)	Exploit Public-Facing Application (T1190)	B	SQL Injection (T1190) is a technique where an adversary leverages a vulnerability in a web application to gain unauthorized access to a system. Exploit Public-Facing Application (T1190) is a broader category in which exploiting public-facing applications can include various methods, but SQL Injection is a
Which MITRE ATT&CK technique involves an adversary using valid accounts to access a target system without using malware?	Valid Accounts (T1078)	Account Manipulation (T1098)	Remote Services (T1021)	Exploit Public-Facing Application (T1190)	A	Valid Accounts (T1078) is the correct answer as it specifically refers to the technique where adversaries use legitimate credentials to access systems, emphasizing the importance of monitoring and controlling account usage.
Which MITRE ATT&CK technique involves an adversary collecting information about the target through active reconnaissance methods such as scanning and probing?	T1592 - Conduct Social Engineering	T1040 - Network Sniffing	T1590 - Conduct Cyber Espionage	T1591 - Conduct Reconnaissance	T1591 - Conduct Reconnaissance	The correct answer is option D, T1591 - Conduct Reconnaissance. This technique involves an adversary collecting information about the target through active reconnaissance methods such as scanning and probing.
Which MITRE ATT&CK technique involves an adversary sending repeated connection requests with the intent of overwhelming the target's resources?	Reconnaissance (T1593 - Behavior Graphing)	Exfiltration Over Alternative Protocol (T1048 - Exfiltration Over C2 Channel)	Denial of Service (T1498 - Network Denial of Service)	Exploitation for Credential Access (T1078 - Valid Accounts)	C	Denial of Service (T1498 - Network Denial of Service) is the technique where an adversary sends repeated connection requests to overwhelm a target's resources, impacting availability. This requires security professionals to understand
Which MITRE ATT&CK technique involves an adversary exploiting trust in an organization's environment through the use of valid accounts to move laterally within the network?	Replication Through Removable Media (T1091)	Valid Accounts (T1078)	Phishing for Information (T1592)	Data from Information Repositories (T1213)	B	Adversaries can use valid accounts (T1078 - Valid Accounts) to move laterally within a network by exploiting trust in the environment, making this a common technique in cyber threat scenarios.
